StrideTimeC	GTStrideTime
0,96875	0,953125
0,8828125	0,9140625
0,953125	0,9296875
0,9140625	0,90625
0,9140625	0,9140625
0,90625	0,9140625
0,8984375	0,9140625
0,9453125	0,921875
0,9140625	0,921875
0,921875	0,921875
0,90625	0,90625
0,9140625	0,90625
0,9296875	0,9296875
0,921875	0,921875
0,921875	0,921875
0,921875	0,921875
0,90625	0,921875
0,8828125	0,9140625
0,921875	0,8984375
0,921875	0,8671875
0,9140625	0,9609375
0,921875	0,921875
0,921875	0,921875
0,9296875	0,921875
0,9296875	0,9296875
0,9296875	0,9296875
0,9453125	0,9453125
0,9375	0,9453125
0,9453125	0,9375
0,921875	0,9140625
0,9140625	0,9140625
0,9375	0,9453125
0,953125	0,8828125
0,953125	0,9609375
0,96875	0,9765625
0,9921875	0,984375
0,9765625	0,96875
0,953125	0,9375
0,953125	0,96875
0,96875	0,96875
0,953125	0,9375
0,9453125	0,96875
0,9453125	0,9375
0,921875	0,9296875
0,9296875	0,921875
0,9140625	0,9140625
0,9453125	0,9453125
0,9453125	0,9453125
0,9453125	0,953125
0,953125	0,953125
0,96875	0,9609375
0,9609375	0,9609375
0,953125	0,9609375
0,9296875	0,9296875
0,9296875	0,9140625
0,9453125	0,96875
0,9453125	0,9453125
0,9609375	0,9453125
0,9375	0,9453125
0,9609375	0,953125
0,9453125	0,9609375
0,9609375	0,9453125
0,953125	0,9140625
0,953125	1,0078125
0,9609375	0,9453125
0,9609375	0,96875
0,9609375	0,9609375
0,9765625	0,9765625
0,96875	0,96875
0,9765625	0,9765625
0,96875	0,96875
0,9609375	0,953125
0,96875	0,96875
0,96875	0,96875
0,9296875	0,9296875
0,90625	0,9140625
0,9375	0,890625
0,9296875	0,9765625
0,9296875	0,9375
0,9375	0,9296875
0,921875	0,8984375
0,9375	0,9765625
0,953125	0,953125
0,9453125	0,8984375
0,921875	0,9765625
0,9375	0,921875
0,921875	0,9296875
0,953125	0,953125
0,9609375	0,953125
0,9609375	0,9609375
0,9375	0,9453125
0,953125	0,953125
0,953125	0,9453125
0,9296875	0,9375
0,9453125	0,953125
0,9609375	0,9375
0,9453125	0,953125
0,9609375	0,953125
0,9921875	0,9921875
0,9609375	0,9609375
0,9453125	0,9453125
0,9375	0,9375
0,953125	0,953125
1,0546875	0,96875
0,890625	0,96875
1,0625	0,9765625
0,875	0,9765625
0,9765625	0,9765625
0,96875	0,96875
1,09375	0,9453125
0,8828125	1,0234375
0,9765625	0,9765625
1,0703125	0,9296875
0,90625	1,0390625
1	1,0078125
1,1640625	1,0234375
1,15625	1,1875
1,125	1,1640625
1,03125	1,0859375
0,984375	0,9921875
0,984375	0,9765625
0,9609375	0,9609375
0,9765625	0,9765625
0,9609375	0,9609375
0,953125	0,953125
0,9765625	0,9765625
0,9453125	0,9453125
0,96875	0,96875
0,953125	0,953125
0,9609375	0,953125
0,9453125	0,953125
0,9765625	0,96875
0,9609375	0,9765625
0,9609375	0,9453125
0,9609375	0,9609375
0,9609375	0,96875
0,96875	0,96875
0,9765625	0,9765625
0,9609375	0,9609375
0,9765625	0,96875
0,96875	0,9765625
0,9140625	0,96875
0,9765625	0,9765625
0,9921875	0,984375
1	1,015625
0,9921875	0,984375
0,984375	0,984375
0,9765625	0,9765625
0,984375	0,9765625
0,984375	0,9921875
0,9765625	0,9765625
0,96875	0,96875
0,9609375	0,953125
0,96875	0,96875
0,9765625	0,9296875
0,9609375	0,9609375
0,96875	1,0234375
0,953125	0,9453125
0,9453125	0,9453125
0,9375	0,890625
0,9375	0,9375
0,9375	0,9765625
0,953125	0,9609375
0,953125	0,953125
0,953125	0,953125
0,953125	0,9453125
0,9296875	0,8828125
0,953125	0,9453125
0,9375	0,9921875
0,9375	0,9453125
0,9296875	0,9296875
0,953125	0,9453125
0,9375	0,9453125
0,9375	0,9296875
0,9453125	0,953125
0,9453125	0,9375
0,9609375	0,9375
0,9453125	0,96875
0,953125	0,953125
0,9609375	0,9609375
0,953125	0,953125
0,9296875	0,9375
0,9296875	0,9296875
0,9296875	0,9296875
0,9453125	0,9375
0,9296875	0,9375
0,9375	0,9453125
0,953125	0,9453125
0,96875	0,90625
1,328125	1,375
1,34375	1,3359375
1,0703125	1,1796875
0,953125	0,953125
0,9453125	0,9453125
0,9375	0,9375
0,9609375	0,9609375
0,9609375	0,953125
0,9765625	0,9921875
0,9921875	0,984375
0,984375	0,9765625
0,9765625	0,9765625
0,9921875	0,9921875
0,984375	0,984375
1,0078125	1,0078125
1	0,9921875
0,96875	0,984375
1	0,9921875
1	1,0078125
0,9609375	0,953125
1	1
0,984375	0,9921875
0,984375	0,9921875
0,9453125	0,9296875
0,9609375	0,984375
0,984375	0,96875
0,9609375	0,953125
0,9609375	0,96875
0,953125	0,953125
0,9453125	0,9453125
0,953125	0,9453125
0,953125	0,9609375
0,9609375	0,953125
0,9609375	0,9609375
0,984375	0,9921875
0,9765625	0,9765625
0,984375	0,984375
0,96875	0,9609375
0,953125	0,953125
0,953125	0,9609375
0,953125	0,9453125
0,9609375	0,9609375
0,96875	0,96875
0,9609375	0,9609375
0,9765625	0,984375
0,953125	0,9453125
0,9453125	0,9453125
0,9375	0,9375
0,9375	0,9375
0,9453125	0,9453125
0,9453125	0,9453125
0,9375	0,9453125
0,9609375	0,9609375
0,953125	0,9453125
0,953125	0,953125
0,9453125	0,953125
0,9375	0,9296875
0,9296875	0,9296875
0,9453125	0,9453125
0,9375	0,9375
0,9296875	0,9375
0,9453125	0,9375
0,9375	0,9375
0,9453125	0,953125
0,953125	0,9453125
0,953125	0,953125
0,9453125	0,9453125
0,953125	0,9609375
0,96875	0,9609375
0,9609375	0,953125
0,9375	0,9453125
0,96875	0,96875
0,9609375	0,9609375
0,953125	0,953125
0,9453125	0,9453125
0,953125	0,9453125
0,96875	0,9765625
0,9609375	0,9609375
0,9921875	0,9921875
0,953125	0,9453125
0,96875	0,9765625
0,9609375	0,953125
0,984375	0,9921875
0,9765625	0,9765625
0,96875	0,96875
0,96875	0,9609375
0,9765625	0,984375
0,953125	0,9609375
0,96875	0,953125
0,9453125	0,953125
0,9921875	0,9921875
0,9609375	0,953125
0,96875	0,9765625
0,9765625	0,9765625
0,9765625	0,96875
0,953125	0,9609375
0,9609375	0,953125
0,9609375	0,9609375
0,96875	0,9765625
0,9609375	0,9609375
0,953125	0,9453125
0,96875	0,96875
0,9453125	0,9453125
0,9453125	0,9453125
0,9609375	0,9609375
0,9453125	0,9453125
0,9375	0,9375
0,984375	0,984375
0,9453125	0,9453125
0,96875	0,96875
0,9453125	0,9453125
0,953125	0,9609375
0,9453125	0,9453125
0,9453125	0,9453125
0,96875	0,9609375
0,921875	0,9375
1,046875	1,03125
0,9609375	0,9609375
0,9921875	0,984375
0,9765625	0,984375
0,96875	0,96875
0,984375	0,984375
1	0,9921875
0,984375	0,9921875
0,9921875	0,9921875
0,9765625	0,984375
0,9765625	0,96875
0,9921875	1
0,9609375	0,953125
0,9921875	0,984375
0,9765625	0,984375
0,9609375	0,9609375
0,9609375	0,9609375
0,953125	0,953125
0,9609375	0,9609375
0,921875	0,921875
0,9609375	0,9453125
0,96875	0,9765625
0,953125	0,953125
0,9609375	0,9609375
0,9609375	0,9609375
0,9609375	0,9609375
0,984375	0,9765625
0,96875	0,96875
0,96875	0,9765625
0,9609375	0,9609375
0,96875	0,9609375
0,96875	0,984375
0,9609375	0,953125
0,984375	0,9765625
0,9765625	0,984375
0,9609375	0,953125
0,984375	0,984375
0,9609375	0,96875
0,96875	0,96875
0,9921875	0,984375
0,9609375	0,9609375
0,9765625	0,984375
0,9609375	0,9609375
0,984375	0,9765625
0,953125	0,9609375
0,9765625	0,9765625
0,984375	0,9765625
0,9921875	0,9921875
1	1
0,9921875	0,9921875
0,984375	0,984375
0,96875	0,9765625
1	0,9921875
0,984375	0,984375
0,984375	0,984375
0,9921875	1
1,0078125	0,9921875
0,9921875	1
0,9921875	1
1,0078125	1,0078125
1,015625	1,0078125
1,0078125	1,0078125
1,015625	1,015625
1	1
1,03125	1,0390625
0,984375	0,9765625
0,96875	0,96875
0,921875	0,921875
0,9453125	0,953125
0,9453125	0,9375
0,9453125	0,9453125
0,953125	0,953125
0,953125	0,9609375
0,953125	0,953125
0,9609375	0,953125
0,9453125	0,9453125
0,9375	0,9375
0,9453125	0,9453125
0,9609375	0,9609375
0,9375	0,9453125
0,9453125	0,9375
0,921875	0,9296875
0,9296875	0,9296875
0,9453125	0,9375
0,9296875	0,9375
0,9453125	0,9375
0,921875	0,921875
0,9375	0,9375
0,9296875	0,9375
0,9296875	0,921875
0,9453125	0,953125
0,921875	0,9140625
0,9453125	0,9453125
0,9296875	0,9296875
0,9375	0,9375
0,9375	0,9375
0,9375	0,9375
0,9453125	0,9453125
0,90625	0,90625
0,9453125	0,9453125
0,9375	0,9375
0,9453125	0,9453125
0,9296875	0,9296875
0,9453125	0,9375
0,9296875	0,9375
0,921875	0,921875
0,9453125	0,9453125
0,953125	0,953125
0,9453125	0,9453125
0,9609375	0,9609375
0,953125	0,953125
0,953125	0,953125
0,953125	0,9453125
0,9453125	0,9453125
0,9375	0,9453125
0,953125	0,953125
0,953125	0,953125
0,9609375	0,9609375
0,9609375	0,9609375
0,9609375	0,9609375
